ID,Title
a1b2c3d4-e5f6-4a7b-8c9d-0e1f2a3b4c5d,Sales Manager
b2c3d4e5-f6a7-4b8c-9d0e-1f2a3b4c5d6e,IT Specialist
c3d4e5f6-a7b8-4c9d-8e1f-2a3b4c5d6e7f,Sales Representative
d4e5f6a7-b8c9-4d0e-1f2a-3b4c5d6e7f8g,Team Lead
e5f6a7b8-c9d0-4e1f-2a3b-4c5d6e7f8g9h,Software Developer
f6a7b8c9-d0e1-4f2a-3b4c-5d6e7f8g9h0i,Data Analyst
a7b8c9d0-e1f2-4a3b-4c5d-6e7f8g9h0i1j,HR Manager
b8c9d0e1-f2a3-4b4c-5d6e-7f8g9h0i1j2k,Marketing Specialist
c9d0e1f2-a3b4-4c5d-6e7f-8g9h0i1j2k3l,Project Manager
d0e1f2a3-b4c5-4d6e-7f8g-9h0i1j2k3l4m,Operations Manager
e1f2a3b4-c5d6-4e7f-8g9h-0i1j2k3l4m5n,Senior Developer
f2a3b4c5-d6e7-4f8g-9h0i-1j2k3l4m5n6o,Customer Support
a3b4c5d6-e7f8-4g9h-0i1j-2k3l4m5n6o7p,Logistics Coordinator
b4c5d6e7-f8g9-4h0i-1j2k-3l4m5n6o7p8q,Financial Analyst
c5d6e7f8-g9h0-4i1j-2k3l-4m5n6o7p8q9r,Graphic Designer
d6e7f8g9-h0i1-4j2k-3l4m-5n6o7p8q9r0s,Product Owner
e7f8g9h0-i1j2-4k3l-4m5n-6o7p8q9r0s1t,Scrum Master
f8g9h0i1-j2k3-4l4m-5n6o-7p8q9r0s1t2u,DevOps Engineer
g9h0i1j2-k3l4-4m5n-6o7p-8q9r0s1t2u3v,Business Analyst
h0i1j2k3-l4m5-4n6o-7p8q-9r0s1t2u3v4w,System Administrator
